亜,あ,次位、次ぐ。亜相、亜将は大納言・近衛中少将を指す
黄麻,こうま,詔勅
厚免,こうめん,罪を許されること
荒野,こうや,無税地
荒涼,こうりょう,不注意・ぶしつけ
校量,こうりょう,考え・考えはかる
合力,ごうりき,援助・援兵・施し
沽却,こきゃく,売り渡すこと
意得,こころえ,心得・理解・計らい
鬼籠,こころにくし,おぼつかなく気がおかれる
巨細,こさい,大小・子細
巨砕,こさい,大小・子細
来方,こしかた,過去　→きしかた
拵,こしらえ,周旋・取計らい
姑洗,こせん,陰暦三月の異称
社,こそ,強めの助詞のこそ
鼓騒,こそう,物音を立てて騒ぎ立てること
骨柄,こつがら,人柄・人品
御点,ごてん,合点・許可すること
如,ごとく,方へ
故,ことさらに,とくに・別にして
事実者,ことじちならば,事実であるならば
寄事於左右,ことをさようによせ,色々理由をつけて
吾分,ごぶん,目下の者に向かって言う言葉・おまえ・わが身
五明,ごめい,扇子の異名
先是,これよりさき
為之如何,これをなすいかん
在家,ざいけ,僧に対する在俗の人・いなかや中世住家と在宅・園を含めた収税単位。在家役は家別の課税
在所,ざいしょ,住家。ふるさと
在地人,ざいちにん,地下人の事・官位のないもの
近會,さいつころ,さきごろ
割符,さいふ,為替手形・金銭の預証文
際目,さいめ,地所の境目
遮而,さえぎって,わざわざ・事前に
尺木,さかもぎ,逆茂木
作意,さくい,つくりごと・考え
作事,さくじ,家を造ること・普請
下墨,さげすみ,測定・物事をおしはかる
支,ささえる,支持する・妨害する
指事,さしたること,指して・これというほどの
作善,さぜん,善根をつむこと・造仏や法会を行うこと
沙汰,さた,処置する・とりきめる・取り扱う・議定・裁断・訴訟・公事・官府の命令・報知・報告・音信・うわさ
沙汰居,さたしすう,命令して与える・決着をつける
雑掌,ざっしょう,雑事を掌る役・居留守役・代理人
左道,さどう,失礼・つまらぬ(謙譲語)・不都合なこと
随候,さぶろうままに,あるにまかせて
任地,さもあらばあれ,ままよ
左右,さゆう,有様・便り・指図・自由に処置する
去文,さりぶみ,売買・譲与等の証文・後世は離縁状
避文,さりぶみ,売買・譲与等の証文・後世は離縁状
