主従格,,,,名詞,普通名詞,一般,*,*,*,,,主従格,,主従格,,和,*,*,*,*,OGI_ROLE
主殿頭,,,,名詞,普通名詞,一般,*,*,*,,,主殿頭,,主殿頭,,和,*,*,*,*,OGI_ROLE
主水組,,,,名詞,普通名詞,一般,*,*,*,,,主水組,,主水組,,和,*,*,*,*,OGI_ROLE
主水組の七右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の七右衛門組,,主水組の七右衛門組,,和,*,*,*,*,OGI_ROLE
主水組の与右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の与右衛門組,,主水組の与右衛門組,,和,*,*,*,*,OGI_ROLE
主水組の五郎左衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の五郎左衛門組,,主水組の五郎左衛門組,,和,*,*,*,*,OGI_ROLE
主水組の作左衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の作左衛門組,,主水組の作左衛門組,,和,*,*,*,*,OGI_ROLE
主水組の八左衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の八左衛門組,,主水組の八左衛門組,,和,*,*,*,*,OGI_ROLE
主水組の大八郎組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の大八郎組,,主水組の大八郎組,,和,*,*,*,*,OGI_ROLE
主水組の忠右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の忠右衛門組,,主水組の忠右衛門組,,和,*,*,*,*,OGI_ROLE
主水組の覚右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の覚右衛門組,,主水組の覚右衛門組,,和,*,*,*,*,OGI_ROLE
主水組の雄右衛門組,,,,名詞,普通名詞,一般,*,*,*,,,主水組の雄右衛門組,,主水組の雄右衛門組,,和,*,*,*,*,OGI_ROLE
主計組,,,,名詞,普通名詞,一般,*,*,*,,,主計組,,主計組,,和,*,*,*,*,OGI_ROLE
主計組の兵力組,,,,名詞,普通名詞,一般,*,*,*,,,主計組の兵力組,,主計組の兵力組,,和,*,*,*,*,OGI_ROLE
